epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0323,2.7129,53.2233,1.9612,0.00013,0.14286,0.00022,7e-05,2.58937,25.8123,2.3866,0.00054,0.00054,0.00054
2,23.0016,2.61843,9.60785,2.17923,0,0,0,0,nan,nan,nan,0.00108185,0.00108185,0.00108185
3,33.0074,2.79837,3.77228,2.24939,0,0,0,0,nan,nan,nan,0.00160522,0.00160522,0.00160522
4,41.7786,2.78752,3.27828,2.20418,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
5,51.411,2.86428,3.19049,2.34463,0.62545,0.14286,0.14887,0.06059,nan,nan,nan,0.001868,0.001868,0.001868
6,61.239,2.64072,3.18033,2.13079,0,0,0,0,nan,nan,nan,0.001835,0.001835,0.001835
7,70.7419,2.67186,2.86105,2.21161,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
8,79.7736,2.64215,2.75165,2.25414,0,0,0,0,nan,nan,nan,0.001769,0.001769,0.001769
9,89.3708,2.52031,2.45119,2.05032,0.20184,0.28571,0.12956,0.06453,3.06683,3.98285,2.72412,0.001736,0.001736,0.001736
10,99.0741,2.44813,2.49237,1.90626,0.73367,0.28571,0.2599,0.12306,2.7421,3.78595,2.45963,0.001703,0.001703,0.001703
11,108.126,2.48789,2.38953,1.98857,0.59217,0.20869,0.19187,0.09053,2.82098,3.01248,2.50921,0.00167,0.00167,0.00167
12,117.726,2.38831,2.27159,2.00672,0.2075,0.14286,0.08441,0.02749,2.68634,17.0664,2.55029,0.001637,0.001637,0.001637
13,127.409,2.40713,2.14812,2.0826,0.56956,0.28571,0.21917,0.11224,3.13758,3.30094,2.78212,0.001604,0.001604,0.001604
14,137.953,2.35462,2.32741,1.98137,0.92656,0.28571,0.31486,0.12353,2.89888,5.54582,2.58748,0.001571,0.001571,0.001571
15,147.24,2.51045,2.41352,1.98706,0.95393,0.28571,0.30454,0.11426,2.85743,3.1384,2.53644,0.001538,0.001538,0.001538
16,156.747,2.41967,2.13641,1.9778,0.79484,0.27834,0.32268,0.13929,2.80525,2.84416,2.49467,0.001505,0.001505,0.001505
17,166.483,2.42852,2.32124,2.04718,0.4752,0.35714,0.29117,0.12056,2.80749,2.90624,2.6989,0.001472,0.001472,0.001472
18,176.062,2.25722,1.91528,1.83484,0.36483,0.42857,0.36458,0.15008,2.60841,2.35867,2.47906,0.001439,0.001439,0.001439
19,185.17,2.29104,2.05387,1.99263,0.6179,0.35714,0.31997,0.15209,2.54851,1.98254,2.28735,0.001406,0.001406,0.001406
20,194.863,2.23545,1.77834,1.79106,0.79129,0.28571,0.31944,0.14555,2.8631,2.46962,2.44648,0.001373,0.001373,0.001373
21,204.563,2.09416,1.88091,1.83909,0.41677,0.35714,0.29564,0.12796,2.68017,2.3497,2.59122,0.00134,0.00134,0.00134
22,213.504,2.30939,2.04168,1.94876,0.96331,0.28571,0.3533,0.1663,2.68629,2.60555,2.41157,0.001307,0.001307,0.001307
23,223.02,2.20547,1.85523,1.89024,0.45266,0.64286,0.52036,0.18008,2.63268,1.89248,2.40835,0.001274,0.001274,0.001274
24,232.783,2.09949,1.57118,1.67737,0.58525,0.40487,0.4423,0.13626,2.65141,2.03343,2.40176,0.001241,0.001241,0.001241
25,242.503,2.11483,1.61638,1.74051,0.86298,0.28571,0.40434,0.20209,2.3343,2.24201,2.227,0.001208,0.001208,0.001208
26,251.432,2.22658,2.07394,1.84007,0.44364,0.57143,0.4877,0.21628,2.25307,1.87389,2.29644,0.001175,0.001175,0.001175
27,261.042,2.18736,1.68458,1.80331,0.67588,0.35714,0.4469,0.19245,2.48308,1.94514,2.29354,0.001142,0.001142,0.001142
28,270.598,2.07493,1.59701,1.73558,0.71964,0.28571,0.3471,0.17042,2.40865,1.82925,2.24094,0.001109,0.001109,0.001109
29,280.102,2.03087,1.49675,1.8113,0.50064,0.57143,0.49934,0.21377,2.35565,1.66372,2.22668,0.001076,0.001076,0.001076
