epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9879,2.57421,4.46717,1.94338,0.00082,0.34483,0.00059,0.00019,2.87563,inf,2.56571,0.000655556,0.000655556,0.000655556
2,64.4313,2.61177,3.60964,2.18687,0,0,0,0,nan,nan,nan,0.00130041,0.00130041,0.00130041
3,95.9089,2.62263,3.48884,2.19575,0.00176,0.27586,0.00092,0.00021,3.3144,nan,4.35373,0.00192326,0.00192326,0.00192326
4,128.288,2.91897,3.54281,2.40281,0,0,0,0,0,nan,0,0.001901,0.001901,0.001901
5,160.093,2.79223,3.16984,2.27018,0.07828,0.13793,0.096,0.01394,2.79943,69.8997,2.70092,0.001868,0.001868,0.001868
6,192.451,2.7889,3.14683,2.32262,0.55749,0.30442,0.31818,0.13136,2.62587,2.97672,2.497,0.001835,0.001835,0.001835
7,225.136,2.61356,3.08195,2.21123,0.45524,0.31034,0.2438,0.12351,2.45234,2.54379,2.32454,0.001802,0.001802,0.001802
8,257.543,2.4805,2.68117,2.12868,0.51588,0.44828,0.38747,0.13958,2.36993,2.64584,2.28524,0.001769,0.001769,0.001769
9,289.451,2.48715,2.7108,2.09633,0.60591,0.34483,0.3006,0.12054,2.34254,2.70004,2.22304,0.001736,0.001736,0.001736
10,321.253,2.4331,2.70951,2.09911,0.48736,0.31034,0.31544,0.11274,2.28556,2.49463,2.27581,0.001703,0.001703,0.001703
11,353.434,2.48295,2.70112,2.15244,0.74046,0.41379,0.37957,0.17039,2.40195,2.53129,2.25647,0.00167,0.00167,0.00167
12,385.601,2.42566,2.64023,2.05715,0.84177,0.36752,0.42855,0.1911,2.31587,2.51392,2.11352,0.001637,0.001637,0.001637
13,417.411,2.47779,2.565,2.10139,0.66595,0.37931,0.42489,0.17234,2.29331,2.07153,2.23622,0.001604,0.001604,0.001604
14,449.59,2.32435,2.34225,1.96161,0.57515,0.51362,0.41578,0.15342,2.27609,2.00872,2.178,0.001571,0.001571,0.001571
15,481.061,2.33925,2.3606,1.99251,0.7616,0.44828,0.45042,0.14185,2.33262,2.14808,2.17483,0.001538,0.001538,0.001538
16,512.893,2.39829,2.42108,2.07679,0.68697,0.37931,0.44924,0.17679,2.35144,2.11943,2.14872,0.001505,0.001505,0.001505
17,545.015,2.30656,2.27505,2.01143,0.64072,0.55352,0.54275,0.15888,2.30458,2.40079,2.23402,0.001472,0.001472,0.001472
18,576.763,2.2265,2.20089,1.93622,0.71844,0.44828,0.55867,0.23364,2.15496,2.13568,2.17069,0.001439,0.001439,0.001439
19,608.575,2.22299,2.27874,1.94344,0.6355,0.42114,0.45856,0.16035,2.33915,2.20651,2.19291,0.001406,0.001406,0.001406
