epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1472,2.34499,3.44753,1.867,0.00066,0.25893,0.00045,0.00016,3.40498,inf,3.54711,0.000656716,0.000656716,0.000656716
2,76.3604,2.57307,2.80021,2.1847,0,0,0,0,nan,nan,nan,0.00130155,0.00130155,0.00130155
3,114.057,2.88462,3.02489,2.41395,0.02021,0.3125,0.00894,0.00308,2.91694,36.7875,3.71175,0.00192438,0.00192438,0.00192438
4,152.247,2.72153,2.97146,2.28738,0.00029,0.17857,0.00018,4e-05,4.02865,inf,22.7779,0.001901,0.001901,0.001901
5,189.537,2.60663,2.84801,2.27244,0.47462,0.33036,0.28661,0.10142,2.58103,3.76209,2.59368,0.001868,0.001868,0.001868
6,227.326,2.59491,2.78501,2.25842,0.41845,0.33036,0.28261,0.11217,2.44446,4.00507,2.45318,0.001835,0.001835,0.001835
7,266,2.53834,2.51525,2.15338,0.5048,0.30357,0.29273,0.09132,2.62967,2.7136,2.54183,0.001802,0.001802,0.001802
8,303.261,2.4182,2.54326,2.12727,0.61183,0.3125,0.30367,0.10571,2.51811,2.7596,2.39033,0.001769,0.001769,0.001769
9,340.477,2.34326,2.38906,2.00187,0.50306,0.48214,0.43463,0.13349,2.43339,3.17424,2.34715,0.001736,0.001736,0.001736
10,378.048,2.30196,2.31062,2.01068,0.60418,0.40179,0.45896,0.1817,2.30421,2.20572,2.29058,0.001703,0.001703,0.001703
11,415.995,2.32421,2.25319,1.98833,0.54419,0.38393,0.35287,0.13002,2.26512,2.21349,2.25514,0.00167,0.00167,0.00167
12,453.033,2.24152,2.18547,2.01578,0.6348,0.52679,0.52643,0.19226,2.24998,1.8577,2.25442,0.001637,0.001637,0.001637
13,490.268,2.27938,2.098,1.98749,0.54093,0.45536,0.4343,0.16696,2.21636,2.10245,2.24167,0.001604,0.001604,0.001604
14,527.407,2.25117,2.09999,1.97961,0.56162,0.5,0.42832,0.15466,2.40118,2.06017,2.35136,0.001571,0.001571,0.001571
15,564.898,2.14688,1.98151,1.87369,0.5549,0.38962,0.38752,0.13945,2.42929,2.26259,2.38477,0.001538,0.001538,0.001538
16,602.034,2.09503,1.88418,1.87972,0.70536,0.5,0.55899,0.22549,2.14081,1.88417,2.20804,0.001505,0.001505,0.001505
17,639.519,2.18156,1.89977,1.91921,0.67696,0.42857,0.48862,0.1831,2.33611,1.90822,2.29122,0.001472,0.001472,0.001472
18,676.858,2.12427,1.91348,1.89654,0.63903,0.46429,0.5053,0.18738,2.27822,1.88814,2.34084,0.001439,0.001439,0.001439
19,714.837,2.08385,1.87718,1.85407,0.61284,0.53571,0.5331,0.20742,2.22168,1.88136,2.23409,0.001406,0.001406,0.001406
20,751.909,2.04317,1.77049,1.85373,0.68712,0.56867,0.58917,0.22843,2.18491,1.76078,2.22231,0.001373,0.001373,0.001373
21,789.535,2.00822,1.75484,1.80185,0.52578,0.41071,0.41915,0.16015,2.29825,2.02747,2.29679,0.00134,0.00134,0.00134
22,826.911,2.06196,1.76677,1.83178,0.68308,0.57143,0.60546,0.2309,2.20069,1.73894,2.19403,0.001307,0.001307,0.001307
23,864.993,2.04756,1.80294,1.85065,0.68394,0.59897,0.61491,0.27195,2.07932,1.90137,2.10532,0.001274,0.001274,0.001274
24,902.347,1.98596,1.65959,1.74855,0.75031,0.5625,0.60198,0.22054,2.24714,1.90216,2.27089,0.001241,0.001241,0.001241
25,939.332,1.98344,1.65329,1.77307,0.72519,0.56549,0.6202,0.28134,2.04461,1.55267,2.09181,0.001208,0.001208,0.001208
26,976.472,1.97905,1.647,1.75807,0.74699,0.57993,0.63967,0.27651,2.17088,1.6522,2.15208,0.001175,0.001175,0.001175
27,1014.12,2.02607,1.611,1.76815,0.79255,0.52679,0.60354,0.2467,2.19235,1.66457,2.21903,0.001142,0.001142,0.001142
