epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8723,2.49613,11.2335,1.81264,0.00653,0.20588,0.00392,0.00125,2.5212,33.2483,2.15151,0.000655556,0.000655556,0.000655556
2,41.8444,2.51413,3.10823,1.99457,0.30519,0.29721,0.24939,0.09187,2.87959,3.58297,2.73573,0.0012895,0.0012895,0.0012895
3,61.5706,2.73086,3.01512,2.20996,0.00016,0.05882,9e-05,2e-05,4.82937,inf,8.93789,0.00189044,0.00189044,0.00189044
4,80.138,2.6157,2.98016,2.13532,0.00015,0.02941,0.0001,2e-05,5.01911,227.687,7.6244,0.0018515,0.0018515,0.0018515
5,100.084,2.63449,2.76903,2.09223,0.02935,0.11765,0.0108,0.00329,2.95963,18.9635,2.64176,0.001802,0.001802,0.001802
6,120.039,2.58584,2.61737,2.19488,0.28548,0.29412,0.18541,0.06986,2.90649,2.54169,2.59265,0.0017525,0.0017525,0.0017525
7,139.474,2.50011,2.52682,2.1094,0.71309,0.38235,0.42505,0.1737,2.39135,2.01105,2.18415,0.001703,0.001703,0.001703
8,158.853,2.38881,2.42737,2.02233,0.51892,0.35294,0.35127,0.14128,2.5281,2.63447,2.20323,0.0016535,0.0016535,0.0016535
9,178.293,2.34444,2.34003,1.97253,0.69331,0.41176,0.42519,0.18549,2.72084,2.56954,2.42261,0.001604,0.001604,0.001604
10,197.31,2.36341,2.19451,2.01498,0.47698,0.61694,0.46519,0.19005,2.51963,1.97485,2.32174,0.0015545,0.0015545,0.0015545
11,216.94,2.29017,2.16967,1.93913,0.74994,0.44118,0.45392,0.1673,2.52586,2.37631,2.34789,0.001505,0.001505,0.001505
12,235.966,2.3387,2.15751,2.07244,0.3679,0.5,0.28497,0.11995,2.62221,1.78978,2.4119,0.0014555,0.0014555,0.0014555
13,255.369,2.27665,2.13837,1.97694,0.74293,0.41176,0.51538,0.21497,2.37154,1.98109,2.21856,0.001406,0.001406,0.001406
14,274.45,2.3067,2.09917,1.95999,0.67868,0.55882,0.55316,0.25803,2.26838,1.8611,2.14521,0.0013565,0.0013565,0.0013565
15,294.055,2.28842,2.04273,1.99444,0.49721,0.52367,0.50835,0.23577,2.26046,1.72248,2.12421,0.001307,0.001307,0.001307
16,314.021,2.17463,1.96425,1.88267,0.59988,0.61765,0.57608,0.26585,2.1823,1.59244,2.06375,0.0012575,0.0012575,0.0012575
17,334.131,2.13687,1.94925,1.87778,0.70564,0.61765,0.62179,0.27126,2.24998,1.75035,2.07891,0.001208,0.001208,0.001208
18,352.812,2.15095,1.81026,1.88179,0.71047,0.5,0.58212,0.22234,2.27429,1.69838,2.02612,0.0011585,0.0011585,0.0011585
19,372.441,2.10236,1.85983,1.83134,0.67981,0.55882,0.63688,0.2503,2.25501,1.66111,2.12218,0.001109,0.001109,0.001109
20,391.415,2.05931,1.84397,1.8569,0.78611,0.54077,0.65852,0.26171,2.18993,1.7851,2.05352,0.0010595,0.0010595,0.0010595
21,410.911,2.11712,1.79449,1.85795,0.6558,0.58824,0.63167,0.27576,2.2658,1.54406,2.19077,0.00101,0.00101,0.00101
